date,tickers
1/1/1990,"XOM, IBM, L, ^RTX, BMY, MRK, KO, WMT, GE, PG, VZ, JNJ, LLY, MMM, PEP, DIS, T, AIG, BA, DD"
1/1/1991,"XOM, IBM, WMT, BMY, L, MRK, KO, PG, ^RTX, JNJ, PEP, GE, LLY, VZ, MMM, BA, AIG, DIS, PFE, T"
1/1/1992,"XOM, WMT, MRK, KO, IBM, BMY, JNJ, L, ^RTX, PG, PEP, PFE, GE, LLY, MMM, MSFT, AIG, VZ, MO, BA"
1/1/1993,"XOM, WMT, KO, MRK, L, PG, BMY, PEP, JNJ, ^RTX, GE, IBM, MSFT, DIS, PFE, MMM, AIG, VZ, HD, INTC"
1/1/1994,"XOM, KO, WMT, ^RTX, MRK, PG, GE, PEP, IBM, JNJ, BMY, CVX, L, INTC, AIG, VZ, MSFT, DIS, MMM, PFE"
1/1/1995,"XOM, KO, WMT, MRK, PG, IBM, ^RTX, MSFT, JNJ, GE, CVX, PEP, BMY, INTC, AIG, L, DIS, PFE, MMM, HD"
1/1/1996,"XOM, KO, MRK, BAC, ^RTX, PG, JNJ, WMT, IBM, GE, INTC, L, BMY, PEP, PFE, AIG, CVX, LLY, DIS, BA"
1/1/1997,"KO, XOM, INTC, MRK, IBM, PG JNJ, GE, WMT, L, BMY, PFE, DIS, AIG, CVX, PEP, CSCO, BRK-B, LLY, C"
1/1/1998,"GE, KO, MSFT, XOM, INTC, MRK, PG, IBM, PFE, BMY, JNJ, WMT, LLY, DIS, AIG, VZ, L, C, BRK-B, CSCO"
1/1/1999,"MSFT, GE, INTC, WMT, XOM, KO, IBM, MRK, PFE, CSCO, BMY, PG, C, JNJ, BAC, LLY, BRK-B, AIG, HD, T"
1/1/2000,"MSFT, GE, CSCO, WMT, XOM, INTC, C, IBM, ORCL, HD, MRK, KO, PG, AIG, JNJ, QCOM, BMY, PFE, T, VZ"
1/1/2001,"GE, XOM, CSCO, PFE, WMT, MSFT, C, MRK, INTC, AIG, ORCL, KO, JNJ, IBM, BMY, T, VZ, BRK-B, HD, LLY"
1/1/2002,"MSFT, GE, XOM, C, WMT, PFE, INTC, IBM, JNJ, AIG, CSCO, MRK, HD, KO, VZ, BRK-B, PG, PARA, T, BMY"
1/1/2003,"MSFT, XOM, WMT, GE, C, PFE, JNJ, IBM, AIG, MRK, BRK-B, PG, KO, BAC, INTC, VZ, CSCO, PARA, WFC, PEP"
1/1/2004,"MSFT, XOM, PFE, C, GE, WMT, INTC, CSCO, JNJ, IBM, AIG, BRK-B, PG, KO, BAC, WFC, PARA, MRK, CVX, VZ"
1/1/2005,"XOM, GE, MSFT, C, WMT, BAC, PFE, JNJ, IBM, INTC, AIG, PG, JPM, BRK-B, CSCO, CVX, WFC, VZ, KO, UPS"
1/1/2006,"XOM, GE, MSFT, C, WMT, BAC, JNJ, PFE, INTC, AIG, JPM, PG, BRK-B, CVX, IBM, GOOG, CSCO, WFC, PEP, AMGN"
1/1/2007,"XOM, GE, MSFT, C, BAC, PG, WMT, JNJ, PFE, BRK-B, JPM, CSCO, CVX, AIG, GOOG, IBM, WFC, INTC, KO, T"
1/1/2008,"XOM, MSFT, GE, PG, BRK-B, GOOG, CVX, WMT, T, JNJ, BAC, AAPL, CSCO, C, INTC, JPM, PFE, IBM, KO, AIG"
1/1/2009,"XOM, WMT, PG, MSFT, JNJ, BRK-B, CVX, T, GE, JPM, PFE, IBM, KO, WFC, GOOG, CSCO, VZ, ORCL, PM, PEP"
1/1/2010,"XOM, MSFT, WMT, GOOG, AAPL, JNJ, PG, JPM, IBM, CVX, BRK-B, WFC, PFE, CSCO, KO, BAC, GE, T, ORCL, INTC"
1/1/2011,"XOM, AAPL, MSFT, BRK-B, WMT, GOOG, CVX, PG, IBM, JNJ, JPM, WFC, ORCL, GE, KO, C, BAC, PFE, T, INTC "
1/1/2012,"XOM, AAPL, MSFT, CVX, GOOG, IBM, WMT, BRK-B, PG, JNJ, KO, PFE, GE, WFC, PM, T, ORCL, JPM, INTC, VZ"
1/1/2013,"AAPL, XOM, GOOG, WMT, MSFT, BRK-B, CVX, IBM, JNJ, PG, WFC, PFE, GE, JPM, KO, ORCL, T, PM, BAC, VZ "
1/1/2014,"AAPL, XOM, GOOG, MSFT, BRK-B, JNJ, WMT, CVX, WFC, PG, GE, JPM, IBM, PFE, AMZN, KO, ORCL, BAC, C, VZ"
1/1/2015,"AAPL, XOM, MSFT, BRK-B, GOOG, JNJ, WFC, WMT, PG, JPM, META, CVX, GE, ORCL, VZ, BAC, PFE, KO, INTC, C"
1/1/2016,"AAPL, GOOG, MSFT, BRK-B, XOM, AMZN, META, JNJ, WFC, JPM, GE, PG, WMT, PFE, VZ, V, KO, BAC, DIS, CVX"
1/1/2017,"AAPL, GOOG, MSFT, BRK-B, XOM, AMZN, META, JNJ, JPM, WFC, PG, BAC, CVX, GE, VZ, WMT, T, PFE, V, KO"
1/1/2018,"AAPL, GOOG, MSFT, AMZN, META, BRK-B, JNJ, JPM, XOM, BAC, WFC, WMT, V, CVX, PG, HD, INTC, VZ, UNH, PFE"
1/1/2019,"MSFT, AAPL, AMZN, GOOG, BRK-B, META, JNJ, JPM, V, XOM, WMT, UNH, BAC, PFE, VZ, PG, INTC, WFC, CVX, KO"
1/1/2020,"AAPL, MSFT, GOOG, AMZN, META, BRK-B, JPM, V, JNJ, WMT, BAC, PG, MA, XOM, UNH, DIS, INTC, VZ, HD, KO"
1/1/2021,"AAPL, MSFT, AMZN, GOOG, META, TSLA, BRK-B, V, JNJ, WMT, JPM, MA, PG, UNH, DIS, NVDA, HD, PYPL, BAC, VZ"
1/1/2022,"AAPL, MSFT, GOOG, AMZN, TSLA, META, NVDA, BRK-B, UNH, JPM, V, JNJ, HD, WMT, PG, BAC, MA, PFE, DIS, AVGO"
1/1/2023,"AAPL, MSFT, GOOG, AMZN, BRK-B, UNH, JNJ, XOM, V, JPM, TSLA, WMT, NVDA, PG, LLY, CVX, MA, HD, META, PFE"
1/1/2024,"AAPL, MSFT, GOOG, AMZN, NVDA, META, TSLA, BRK-B, LLY, V, AVGO, JPM, UNH, WMT, XOM, MA, JNJ, PG, HD"